Código;Distrito;Material noble;Calamina o tejas;Material precario;Cemento;Tierra;Parquet, losetas o similares;Material noble;Material de adobe o tapia;Material precario;Con agua por red pública domiciliaria;Pilón o pileta de uso público;Pozo (Agua subterránea);No tiene agua por red pública
150710;Lima, Huarochirí, distrito: Lahuaytambo;6;255;1;102;150;2;21;240;1;237;12;0;13
150711;Lima, Huarochirí, distrito: Langa;6;240;11;34;218;0;8;223;27;202;1;47;8
150712;Lima, Huarochirí, distrito: San Pedro de Laraos;1;188;7;16;177;0;13;153;32;187;0;0;11
150713;Lima, Huarochirí, distrito: Mariatana;56;398;6;223;220;7;109;310;31;98;66;215;81
150714;Lima, Huarochirí, distrito: Ricardo Palma;767;722;47;914;230;410;   1 113;151;96;   1 379;34;49;113
150715;Lima, Huarochirí, distrito: San Andrés de Tupicocha;6;425;11;97;326;1;15;417;7;316;22;59;45
150716;Lima, Huarochirí, distrito: San Antonio;8;463;19;68;414;0;30;120;74;68;55;11;366
150717;Lima, Huarochirí, distrito: San Bartolomé;60;339;4;227;153;20;124;233;28;340;3;40;20
150718;Lima, Huarochirí, distrito: San Damian;4;393;26;136;262;1;11;375;37;311;4;46;63
150719;Lima, Huarochirí, distrito: San Juan de Iris;0;132;5;41;81;2;7;126;6;81;16;1;41
150720;Lima, Huarochirí, distrito: San Juan de Tantaranche;0;124;5;8;109;0;1;118;9;114;0;8;7
150721;Lima, Huarochirí, distrito: San Lorenzo de Quinti;2;447;17;82;365;3;17;430;19;386;0;34;48
150722;Lima, Huarochirí, distrito: San Mateo;209;891;24;687;314;83;343;711;36;978;12;80;62
150723;Lima, Huarochirí, distrito: San Mateo de Otao;46;370;1;270;124;11;71;361;5;65;11;236;127
150724;Lima, Huarochirí, distrito: San Pedro de Casta;6;298;5;83;174;2;23;271;20;259;13;3;42
150725;Lima, Huarochirí, distrito: San Pedro de Huancayre;2;90;1;9;84;0;3;87;3;87;0;0;6
150726;Lima, Huarochirí, distrito: Sangallaya;12;244;1;90;155;8;25;225;6;180;23;38;20
150727;Lima, Huarochirí, distrito: Santa Cruz de Cocachacra;224;350;6;417;74;88;398;130;15;566;0;0;17
150728;Lima, Huarochirí, distrito: Santa Eulalia;   1 444;   1 228;65;   1 830;369;599;   1 995;249;102;   2 346;130;27;321
150729;Lima, Huarochirí, distrito: Santiago de Anchucaya;0;141;3;35;108;0;1;140;3;133;0;4;7
150730;Lima, Huarochirí, distrito: Santiago de Tuna;2;176;1;46;130;2;9;169;1;151;8;6;14
150731;Lima, Huarochirí, distrito: Santo Domingo de los Olleros;180;664;22;568;278;34;346;217;36;276;23;221;366
150732;Lima, Huarochirí, distrito: Surco;77;361;10;259;161;16;144;273;14;297;13;86;54
150801;Lima, Huaura, distrito: Huacho;   9 719;   1 553;   5 503;   8 950;   2 250;   6 436;   11 773;   3 572;   1 580;   14 354;   2 128;114;   1 201
150802;Lima, Huaura, distrito: Ambar;9;685;36;114;608;4;59;574;97;243;87;100;306
150803;Lima, Huaura, distrito: Caleta de Carquin;621;49;710;897;126;404;   1 033;235;140;   1 119;4;277;34
150804;Lima, Huaura, distrito: Checras;5;429;0;22;412;0;8;360;59;331;5;38;60
150805;Lima, Huaura, distrito: Hualmay;   3 733;280;   2 827;   4 502;685;   1 862;   4 492;   2 355;164;   6 766;15;49;241
150806;Lima, Huaura, distrito: Huaura;   3 590;427;   4 393;   5 685;   1 684;   1 147;   4 491;   3 822;191;   7 871;118;317;233
150807;Lima, Huaura, distrito: Leoncio Prado;56;551;17;204;410;6;87;505;23;388;127;33;76
150808;Lima, Huaura, distrito: Paccho;39;556;1;96;496;0;56;528;10;430;42;91;34
150809;Lima, Huaura, distrito: Santa Leonor;3;242;42;59;226;0;5;262;20;241;4;29;14
150810;Lima, Huaura, distrito: Santa María;   2 720;676;   6 285;   5 526;   3 011;   1 337;   3 936;   4 290;   1 370;   6 426;513;141;   2 810
150811;Lima, Huaura, distrito: Sayan;   2 034;   1 627;   2 454;   3 795;   1 866;562;   3 338;   1 477;   1 156;   4 471;152;853;760
150812;Lima, Huaura, distrito: Vegueta;   1 465;636;   5 013;   4 128;   2 601;498;   3 124;   2 592;   1 340;   5 457;112;539;   1 133
150901;Lima, Oyón, distrito: Oyón;375;   2 469;73;   1 352;   1 218;101;666;   2 141;103;   2 715;28;99;108
150902;Lima, Oyón, distrito: Andajes;7;224;4;25;202;1;11;219;5;228;0;4;3
150903;Lima, Oyón, distrito: Caujul;1;187;5;32;157;2;12;158;15;170;5;12;6
150904;Lima, Oyón, distrito: Cochamarca;3;337;1;31;308;0;9;312;20;188;12;30;111
150905;Lima, Oyón, distrito: Navan;6;301;3;38;263;2;18;279;9;293;1;12;4
150906;Lima, Oyón, distrito: Pachangara;130;429;7;251;291;32;172;362;21;551;8;9;11
151001;Lima, Yauyos, distrito: Yauyos;14;442;5;193;245;3;55;381;27;397;3;20;44
151002;Lima, Yauyos, distrito: Alis;0;92;0;24;48;0;1;90;6;92;3;0;2
151003;Lima, Yauyos, distrito: Allauca;20;360;11;111;273;1;55;299;32;287;5;2;98
151004;Lima, Yauyos, distrito: Ayaviri;3;189;2;30;153;0;12;181;3;179;4;3;11
151005;Lima, Yauyos, distrito: Azangaro;1;152;8;19;135;0;1;156;4;96;2;17;46
151006;Lima, Yauyos, distrito: Cacra;3;183;10;30;161;1;17;154;24;109;0;46;41
151007;Lima, Yauyos, distrito: Carania;0;72;3;3;69;0;1;48;26;44;2;5;24
151008;Lima, Yauyos, distrito: Catahuasi;33;302;18;148;199;6;84;176;86;295;3;29;26
151009;Lima, Yauyos, distrito: Chocos;1;206;64;29;235;0;19;218;33;160;0;42;69
151010;Lima, Yauyos, distrito: Cochas;4;74;5;12;54;2;13;66;6;74;2;7;2
151011;Lima, Yauyos, distrito: Colonia;8;431;14;82;352;2;22;390;37;219;2;53;180
151012;Lima, Yauyos, distrito: Hongos;0;117;6;4;116;0;1;116;6;100;0;5;18
151013;Lima, Yauyos, distrito: Huampara;2;78;1;29;46;0;6;75;0;70;0;4;7
151014;Lima, Yauyos, distrito: Huancaya;3;116;4;15;101;0;16;78;29;113;0;1;9
151015;Lima, Yauyos, distrito: Huangascar;5;170;5;39;129;0;13;158;5;99;8;28;45
151016;Lima, Yauyos, distrito: Huantan;1;240;1;27;208;0;7;186;49;206;4;7;25
151017;Lima, Yauyos, distrito: Huañec;3;164;16;10;169;3;15;150;17;2;0;0;181
151018;Lima, Yauyos, distrito: Laraos;2;184;27;31;160;1;21;92;98;178;6;23;7
151019;Lima, Yauyos, distrito: Lincha;1;152;11;14;149;0;10;139;14;21;0;19;124
151020;Lima, Yauyos, distrito: Madean;3;194;4;18;181;0;12;182;7;154;0;24;23
